Student ID,Username,Password,Name,Nationality,National ID,Telephone Number,Address,GPA,Level,Major,Current Credit Hours,Total Credit Hours,Registered Courses IDs,Courses Grades
2023170001,2023170001@cis.asu.edu.eg,Vdww901,Mohamed Sami Youssef,Egyptian,3040124567,1123456789,Cairo,3.3,2,General,19,36,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270,A&B+&B&A-&B&A-&B+&A-&A-&B&A-&N.A
2023170002,2023170002@cis.asu.edu.eg,Pruh234,Nourhan Ahmed Khaled,Egyptian,3041234568,1287654321,Giza,2.7,2,General,19,36,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270,B-&B&C&B&C+&B-&B-&B&B&C&A-&N.A
2023170003,2023170003@cis.asu.edu.eg,Nhgh567,Khaled Omar Ali,Egyptian,3031234569,1012345678,Alexandria,3,2,General,19,36,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270,B&B-&C+&B-&B&B-&B-&C+&B-&B+&B&N.A
2023170004,2023170004@cis.asu.edu.eg,Tklg012,Amira Mahmoud Sami,Egyptian,3040124570,1598765432,6th of October,3.7,2,General,19,36,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270,A&A-&B+&A&A-&B+&A&B+&A&B&A-&N.A
2023170005,2023170005@cis.asu.edu.eg,Jlfn789,Hafsa Yasser Mohamed,Egyptian,3040134571,1134567890,Cairo,2,2,General,19,36,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240&BSC125&BSC126&CIS150&CIS124&CIS230&CIS270,C&C-&D+&C&D&C-&C-&C&D+&C&C-&N.A
2024170001,2024170001@cis.asu.edu.eg,Vdww456,Ahmed Mohamed Salem,Egyptian,3031234567,1112345678,Cairo,0,1,General,17,17,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240,N.A&N.A&N.A&N.A&N.A&N.A
2024170002,2024170002@cis.asu.edu.eg,Pruh789,Mariam Khaled Mostafa,Egyptian,3050124568,1234567890,Giza,0,1,General,17,17,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240,N.A&N.A&N.A&N.A&N.A&N.A
2024170003,2024170003@cis.asu.edu.eg,Nhgh123,Maram Ali Hassan,Egyptian,3050134569,1098765432,Alexandria,0,1,General,17,17,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240,N.A&N.A&N.A&N.A&N.A&N.A
2024170004,2024170004@cis.asu.edu.eg,Tklg678,Fatma Omar Ibrahim,Egyptian,3050134570,1512345678,6th of October,0,1,General,17,17,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240,N.A&N.A&N.A&N.A&N.A&N.A
2024170005,2024170005@cis.asu.edu.eg,7777,Hassan Mahmoud Ahmed,Egyptian,3050234571,1187654321,Cairo,0,1,General,17,17,BSC121&BSC122&BSC123&HUM110&CIS160&CIS240,N.A&N.A&N.A&N.A&N.A&N.A
